"","Day","Visits","Year","Quarter","Percentage","Name"
"318","Tuesday",1501858.83453539,"2022","Q2",14.8185732785248,"StLawrenceMarket"
"319","Wednesday",1535065.99536023,"2022","Q2",15.1462224122111,"StLawrenceMarket"
"320","Thursday",1599659.70114034,"2022","Q2",15.7835569874876,"StLawrenceMarket"
"321","Friday",1595921.69530999,"2022","Q2",15.7466747505964,"StLawrenceMarket"
"322","Saturday",1480855.09487991,"2022","Q2",14.6113331251556,"StLawrenceMarket"
"323","Sunday",432063.101110709,"2023","Q2",14.6598373239222,"WestQueenWest"
"324","Monday",375712.67631312,"2023","Q2",12.7478757179833,"WestQueenWest"
"325","Tuesday",398756.102077622,"2023","Q2",13.5297357570032,"WestQueenWest"
"326","Wednesday",419469.607383607,"2023","Q2",14.2325419383534,"WestQueenWest"
"327","Thursday",406222.348733008,"2023","Q2",13.7830644053114,"WestQueenWest"
"328","Friday",447060.741871473,"2023","Q2",15.1687050639125,"WestQueenWest"
"329","Saturday",467972.554795698,"2023","Q2",15.8782397935141,"WestQueenWest"
"330","Sunday",279950.384976606,"2022","Q2",14.2362497921534,"WestQueenWest"
"331","Monday",236151.732712338,"2022","Q2",12.0089674319384,"WestQueenWest"
"332","Tuesday",265583.409495754,"2022","Q2",13.5056494333782,"WestQueenWest"
"333","Wednesday",269044.49699198,"2022","Q2",13.6816552858184,"WestQueenWest"
"334","Thursday",282251.94723,"2022","Q2",14.3532905854863,"WestQueenWest"
"335","Friday",310048.595286707,"2022","Q2",15.7668268631839,"WestQueenWest"
"336","Saturday",323431.030032085,"2022","Q2",16.4473606080413,"WestQueenWest"
"337","Sunday",2584861.37038207,"2023","Q3",12.948727250348,"DowntownWest"
"338","Monday",2582840.57892368,"2023","Q3",12.9386042016907,"DowntownWest"
"339","Tuesday",2885330.65510043,"2023","Q3",14.4539123482823,"DowntownWest"
"340","Wednesday",2970974.58067667,"2023","Q3",14.882941094521,"DowntownWest"
