,Name,Year,Quarter,Time,Visits,Percentage
307,FinancialDistrict,2023,Q4,Afternoon: 12pm - 6pm,7689275.704,34.53008352
308,FinancialDistrict,2023,Q4,Evening: 6pm - 12am,4053266.397,18.20192598
309,FinancialDistrict,2022,Q4,Early Morning: 12am - 6am,881235.1817,8.319708867
310,FinancialDistrict,2022,Q4,Morning: 6am - 12pm,3981158.461,37.58597028
311,FinancialDistrict,2022,Q4,Afternoon: 12pm - 6pm,3699169.52,34.92372308
312,FinancialDistrict,2022,Q4,Evening: 6pm - 12am,2030576.488,19.17059777
313,GerrardIndiaBaz,2023,Q4,Early Morning: 12am - 6am,63434.45123,7.907757192
314,GerrardIndiaBaz,2023,Q4,Morning: 6am - 12pm,149600.8479,18.64928534
315,GerrardIndiaBaz,2023,Q4,Afternoon: 12pm - 6pm,349982.1547,43.62887749
316,GerrardIndiaBaz,2023,Q4,Evening: 6pm - 12am,239162.6041,29.81407999
317,GerrardIndiaBaz,2022,Q4,Early Morning: 12am - 6am,28512.47245,8.426844207
318,GerrardIndiaBaz,2022,Q4,Morning: 6am - 12pm,76782.19764,22.69293267
319,GerrardIndiaBaz,2022,Q4,Afternoon: 12pm - 6pm,140732.3127,41.59335097
320,GerrardIndiaBaz,2022,Q4,Evening: 6pm - 12am,92325.92551,27.28687215
321,Greektown,2023,Q4,Early Morning: 12am - 6am,210369.0852,7.085768096
322,Greektown,2023,Q4,Morning: 6am - 12pm,795537.6366,26.79573949
323,Greektown,2023,Q4,Afternoon: 12pm - 6pm,1271235.344,42.81845324
324,Greektown,2023,Q4,Evening: 6pm - 12am,691753.9299,23.30003917
